id,Latitude,Longitude
0,217152,144048
1,216241,143146
2,216418,143351
3,216738,139607
4,217619,140493
5,217289,140164
6,217424,142273
7,217242,141917
8,217228,141937
9,217425,141086
10,217971,141365
11,217823,141116
12,217812,140868
13,217913,141068
14,217552,140615
15,218179,143523
16,217433,143180
17,217937,143801
18,218033,142071
19,217230,141270
20,218094,141880
21,218173,143897
22,218348,143769
23,217829,143477
24,216289,143249
25,216087,143523
26,216217,143546
27,219460,141992
28,218725,141931
29,219469,141967
30,215335,143341
31,215730,143589
32,216367,144383
33,217484,141592
34,218028,142751
35,217809,141831
36,218895,141843
37,218921,141846
38,219290,141548
39,214433,142921
40,215461,143324
41,215274,143700
42,217335,140542
43,217799,141279
44,217274,140457
45,216634,141347
46,217537,141979
47,217228,141921
48,217844,141196
49,218075,141080
50,217259,140650
51,216156,141927
52,216619,142324
53,216758,142405
54,217274,140563
55,217166,140520
56,217655,140860
57,217790,140597
58,217237,140185
59,216604,139753
60,218509,143805
61,218225,143911
62,217686,143328
63,216971,141828
64,217564,142089
65,217524,142407
66,218080,141369
67,217475,140731
68,217441,140848
69,218528,142230
70,218575,142004
71,218452,142195
72,217835,140329
73,218362,140705
74,217825,140422
75,215723,143129
76,215838,143340
77,215828,142868
78,215800,143016
79,216227,143391
80,216114,143440
81,215993,143259
82,215926,143101
83,215483,142839
84,215133,143003
85,215537,143712
86,215347,143522
87,216058,142068
88,215619,141966
89,215802,142147
90,218861,142254
91,218274,141576
92,218253,141851
93,217996,140648
94,218012,140701
96,217999,141569
97,217095,140502
98,217083,140411
99,218528,141908
100,218747,141670
101,218453,141885
102,217615,141943
103,217407,142261
104,217046,141871
105,215236,143629
106,215057,143239
107,215428,143321
108,216240,143560
109,215905,143114
110,216162,143256
111,218147,140446
112,217780,140542
113,218083,140791
114,215347,143524
115,214626,142892
116,215574,143462
117,218362,142428
118,217993,141773
119,217471,141787
120,218604,142115
121,218032,141875
122,218515,142068
123,217777,142365
124,217368,142073
125,216907,141779
126,216979,143634
127,216389,143365
128,216901,143438
129,215375,142681
130,215937,143227
131,215568,142893
132,217268,142953
133,216637,142259
134,216770,142456
135,218289,141327
136,219283,141833
137,219165,141781
138,215437,143559
139,215215,143184
140,215134,143266
141,215323,141803
142,215666,142293
143,215701,142172
144,217291,140726
147,217604,142369
148,217410,142035
149,217356,142063
150,218238,141413
151,219170,141698
152,218590,141752
153,217362,140341
154,217455,140572
155,217482,140710
156,218663,141240
157,219265,141793
162,215409,143560
163,215774,143556
164,215665,143745
165,215559,141983
166,215352,142009
167,215290,141947
168,215796,144138
169,215725,144120
170,215487,144669
171,218056,140507
172,217423,139948
173,217565,140170
174,217673,141106
175,216946,140351
176,217123,140526
177,219411,142070
178,218985,141829
179,218566,141626
180,218525,141884
181,218297,141283
182,218603,141872
183,215823,142322
184,215434,142384
185,215243,141855
186,217910,141896
187,217666,141573
188,217732,141763
189,217571,140621
190,217432,140411
191,217007,140193
192,217455,140565
193,217370,140762
194,217195,140807
195,219447,141799
196,218895,141819
197,218912,142217
198,216785,141497
199,217075,141839
200,217159,141928
201,217686,143328
202,217251,143058
203,217185,142823
204,217485,140858
205,217601,140967
206,217929,140990
207,217026,140477
208,217167,140694
209,217924,141264
210,216964,142559
211,216915,142248
212,217622,143004
213,218104,140410
214,217239,140027
215,217274,140203
216,217760,141671
217,216880,141004
218,218744,141757
219,218285,142115
220,218014,142067
221,218256,142154
222,217073,140528
223,216731,140468
224,217414,141054
225,216757,142708
226,216483,142165
227,217143,142512
228,216975,143930
229,217084,143665
230,216920,143679
231,214850,141719
232,215327,141932
233,215646,142274
234,218062,141947
235,218800,142293
236,218287,141850
237,235295,144564
238,235097,144266
239,235671,144643
240,215601,142180
241,215766,142362
242,215692,142111
243,217958,141271
244,218161,141314
245,217719,141282
246,216154,143528
247,216040,143324
248,216646,143662
249,236106,144783
250,235775,144895
251,236031,144679
252,217432,143159
253,217623,143302
254,217501,142871
255,216921,142303
256,217188,142868
257,216319,142372
258,215505,142033
259,215235,141613
260,216154,142660
261,218475,142028
262,218255,141788
263,218637,142282
264,218118,141570
265,218746,141841
266,218572,141399
267,217549,140711
268,217047,140607
269,217637,140870
270,217789,143519
271,217746,143306
272,218029,143875
273,216841,142504
274,216967,142762
275,216744,142619
276,218090,143890
277,218918,144417
278,218514,144021
279,218086,141754
280,218950,142425
281,218560,142298
282,216260,143333
283,216416,143458
284,216147,143302
285,218214,143840
286,218397,144087
287,217766,143428
288,215455,141958
289,215369,141909
290,215380,141844
291,215305,141675
292,215157,141766
293,216022,142272
294,215781,143437
295,216005,143468
296,216453,143632
297,217874,143385
298,217809,143204
299,218398,143889
300,217348,140609
301,217551,140699
302,217760,140672
303,217113,141726
304,217500,142035
305,217781,142259
306,215470,143071
307,215260,142578
308,215599,142949
309,215535,141809
310,215840,142287
311,215659,142296
312,217298,141979
313,216979,141674
314,217134,141537
315,218423,142268
316,218321,142023
317,218582,142145
318,219181,142098
319,218802,141779
320,218547,141583
321,217840,140709
322,217729,140422
323,217330,140401
324,235737,145020
325,234691,144876
326,234858,145611
327,215461,142442
328,215490,141888
329,215540,142121
330,215818,142241
331,215674,142166
332,215404,141916
333,217976,141687
334,218861,142439
335,217876,141417
336,217584,141166
337,216330,139928
338,217310,140576
339,218050,143794
340,218051,143564
341,218285,143719
342,216738,139846
343,217610,140458
344,217210,139765
345,217182,143693
346,216151,142979
347,216864,143109
348,217253,140669
349,217104,140447
350,217203,140544
351,217180,140452
352,217381,141019
353,217711,141192
354,217684,140932
355,217218,140450
356,216723,140199
357,217624,140604
358,217902,141040
359,217447,140345
360,217102,143040
361,216685,142628
362,216940,142266
363,217518,142817
364,216545,142344
365,217301,142669
366,215939,143128
367,215086,142062
368,216291,143529
369,215769,143018
370,216441,143496
371,217391,144099
372,217207,140138
373,217967,140506
374,217095,139713
375,217104,141911
376,216837,141895
377,217581,142052
378,217664,141017
379,217429,140707
380,216843,140453
381,217816,140984
382,216977,140170
383,218264,141299
384,218282,143958
385,218107,143677
386,218143,143658
387,217768,141757
388,217778,141793
389,217833,142129
390,218066,143759
391,217722,143529
392,218067,143748
393,216132,143527
394,215957,143456
395,215383,142959
396,219296,141311
397,218662,141720
398,219106,142003
399,216031,144017
400,215400,143594
401,215549,143465
402,217957,142051
403,217699,141669
404,217894,142249
405,219207,142341
406,218025,140766
407,219084,142032
408,215479,143381
409,215435,143563
410,215647,143907
411,217963,141367
412,217603,140965
413,217341,140805
414,217434,142171
415,217313,141874
416,217670,142310
417,218240,141116
418,217775,141197
419,218219,141274
420,216786,142308
421,216689,142522
422,217205,142775
423,217572,140720
424,217989,141018
425,216940,140487
426,217071,139783
427,217887,140468
428,217970,140755
429,217475,143086
430,217984,143581
431,217470,143134
432,217276,142030
433,217097,141799
434,217193,142033
435,216865,140203
436,217141,140244
437,216977,140553
438,219027,142560
439,218278,141867
440,218687,142231
441,217749,140206
442,217198,140018
443,217111,139815
444,216218,143773
445,216123,143437
446,215443,142985
447,216521,143677
448,216707,144068
449,216308,143417
450,215583,142803
451,215925,143227
452,216231,143259
453,215425,143646
454,215431,143719
455,215692,144186
456,215735,142264
457,215292,141670
458,215540,142042
459,218506,142274
460,218684,142340
461,218307,141858
462,217407,140177
463,217576,140289
464,217284,140079
465,217316,140516
466,217445,140718
467,217564,140808
468,218666,141863
469,218158,141241
470,218741,141499
471,216737,141817
472,217355,142015
473,217165,141450
474,215592,143484
475,215793,143841
476,214486,143054
477,216030,143172
478,216672,143680
479,216115,142952
480,217082,139678
481,217801,140506
482,217295,139776
483,215621,143825
484,215080,143365
485,215693,143834
486,218415,142355
487,216824,141442
488,217839,141975
489,218223,141648
490,218256,141895
491,218515,141774
492,216796,141588
493,217723,142359
494,217198,141526
495,217003,143847
496,217854,144725
497,216915,143832
498,216461,143623
499,215627,142944
500,215265,142834
501,216750,142711
502,216638,142406
503,216609,142025
504,218903,141338
505,218166,141028
506,218752,141424
507,214634,142829
508,215218,143120
509,215107,143253
510,215588,142503
511,215292,141682
512,215441,141844
513,217154,140549
514,217715,141036
515,217409,140844
516,217227,142034
517,217399,142002
518,217104,141764
519,219174,141942
520,218787,141224
521,219057,141634
522,217174,140258
523,216939,140105
524,217480,140483
525,221626,135367
526,219239,142133
527,218702,140989
528,38336,258
529,38254,145
530,38312,226
531,216510,144201
532,215013,142710
533,215986,143678
534,216104,142538
535,215233,141901
536,215266,141597
537,215804,144197
538,216177,144692
539,215812,144839
540,217009,139747
541,217279,140000
542,217729,140558
543,217659,140839
544,217303,140718
545,217553,141080
546,219225,141635
547,218793,141630
548,219149,141581
549,218377,141285
550,219432,142141
551,219216,141482
552,215630,142120
553,216202,142689
554,215648,142118
555,217885,141910
556,218241,142325
557,217357,141279
558,217330,140701
559,217053,140514
560,217586,140615
561,217231,140709
562,217860,140949
563,218166,141234
564,219455,141764
565,218621,141434
566,219723,141904
567,217403,142372
568,217356,142046
569,216778,141482
570,217334,142651
571,217453,142790
572,216782,142363
573,217726,140781
574,216986,140475
575,217589,140642
576,217546,140883
577,217875,141299
578,217800,141136
579,217167,142559
580,216935,142616
581,217446,142936
582,217064,139799
583,217683,140071
584,216796,139506
585,218254,141619
586,217269,141118
587,217284,140693
588,218018,141785
589,217480,141205
590,217865,141980
591,217790,141308
592,216962,140614
593,217438,140941
594,217125,142550
595,217307,142832
596,217035,142522
597,216455,143082
598,216734,143446
599,217312,144025
600,215601,142253
601,214754,141223
602,215670,142247
603,218770,142330
604,218695,142207
605,218214,141905
606,235594,144623
607,236056,144958
608,235372,144540
609,215501,141820
610,215313,142178
611,216307,142513
612,217595,141188
613,218198,141612
614,217441,141037
615,216407,143500
616,216530,143555
617,216115,143347
618,235863,144493
619,235355,144723
620,235869,144683
621,217498,143165
622,217588,143455
623,217624,143636
624,217592,143224
625,216847,141933
626,216728,142160
627,216213,142895
628,215224,141629
629,214979,141414
630,217969,141664
631,218475,142068
632,217974,141692
633,218686,141407
634,218494,141396
635,218481,141621
636,217638,141025
637,217333,140902
638,217573,140969
639,218180,144004
640,217672,143444
641,218434,144170
642,216420,142084
643,216638,142412
644,216730,142245
645,218318,144094
646,218249,143859
647,217818,143308
648,218517,142303
649,218374,141934
650,217934,141366
651,216404,143669
652,216904,143494
653,216237,143393
654,218333,144022
655,217480,143365
656,217840,143656
657,216077,142343
658,214925,141278
659,215089,141790
660,215137,141611
661,215650,142107
662,215955,142380
663,215827,143312
664,216223,143620
665,216116,143145
666,216967,142473
667,218139,143582
668,218094,143468
669,217477,141078
670,217610,140761
671,217761,141235
672,217280,141957
673,216943,141696
674,217556,142319
675,215876,143270
676,216054,143227
677,216759,143783
678,215846,142272
679,214819,141689
680,215575,141990
681,217377,142115
682,217569,142208
683,217262,142087
684,218736,142396
685,218398,142147
686,218381,141911
687,218342,141384
688,219256,141765
689,218615,142040
690,217391,140240
691,217939,140510
692,217778,140612
693,236070,144935
694,235600,145188
695,235169,146114
696,215487,141961
697,215574,142164
698,215655,142370
699,215817,142152
700,215993,142599
701,215212,141777
702,217698,141471
703,219058,142151
704,218569,142192
705,217815,141217
706,217171,140165
707,216848,140439
708,218004,143731
709,217425,143199
710,217815,143361
711,217102,139605
712,217994,140512
713,217887,140639
714,216804,143131
715,216218,142498
716,217231,143524
717,216830,140225
718,217829,141076
719,217513,140765
720,217707,140814
721,218607,141849
722,217857,141067
723,217213,140418
724,217386,140938
725,217478,140554
726,217525,140758
727,217366,140459
728,217743,140915
729,217213,143262
730,216843,142526
731,216635,142110
732,217208,142597
733,216750,142352
734,217613,143092
735,216034,143385
736,216391,143601
737,216435,143432
